manufacturer_id,model_name,version,year_start,year_end,fuel,fuel_system,cylinders,drive_type,gearbox,power,max_torque,torque,power_pack,electrical_motor_power,electrical_motor_torque,nominal_capacity,max_capacity,front_brakes,rear_brakes,tire_size,top_speed,top_speed_electrical,acceleration_0_62mph_0_100kmh,range,fuel_capacity,fuel_consumption_city,fuel_consumption_highway,fuel_consumption_combined,co2_emissions,co2_emissions_combined,length,width,height,ground_clearance,wheelbase,front_rear_track,weight,weight_gross_limit,cargo_volume,displacement,aerodynamics_cd,max_power
15,AUDI R8 GT,AUDI R8 GT (US) 5.2L V10 FSI 7AT RWD (602 HP),2022,2024,Gasoline,Turbocharged Direct Injection,V10,Rear Wheel Drive,7-speed automatic DCT,442.8 KW @ - RPM 602 HP @ - RPM 594 BHP @ - RPM,,413 lb-ft @ 8700 RPM 560 Nm @ 8700 RPM,NULL,,,,,Ventilated Discs,Ventilated Discs,NULL,199 mph (320 km/h),,3.4 s,,,,,,,,,,,,,,3516 lbs (1595 kg),,,5204 cm3,,
15,AUDI R8 GT,AUDI R8 GT 5.2L V10 FSI 6AT (560 HP),2010,2013,Gasoline,Direct Injection,V10,All Wheel Drive,6-speed automatic,412 KW @ 8000 RPM 560 HP @ 8000 RPM 553 BHP @ 8000 RPM,,398 lb-ft @ 6500 RPM 540 Nm @ 6500 RPM,NULL,,,,,Ventilated Discs,Ventilated Discs,235/35 ZR19 || 295/30 ZR19,199 mph (320 km/h),,3.6 s,,,13 mpg US (18.1 L/100Km),21 mpg US (11.2 L/100Km),17 mpg US (13.8 L/100Km),,,174.4 in (4430 mm),76 in (1930 mm),48.8 in (1240 mm),4.5 in (114 mm),104.3 in (2649 mm),"64.5/62.8 in (1,638/1,595 mm)",3583 lbs (1625 kg),4034 lbs (1830 kg),3.53 cuFT (100 L),5204 cm3,0.36,
